ACSid,GEOid,Sex,Count,Year,SourceFile
Estimate; Male:,HD01_VD02,male,391208,2015,ACS_15_1YR_B01001_with_ann.csv
Estimate; Female:,HD01_VD26,female,399086,2015,ACS_15_1YR_B01001_with_ann.csv
